sale_id,sale_date,product_id,product_name,quantity,unit_price,total_amount,city
275,,P002,Mouse,1,150000,150000,Yogyakarta
260,2025-08-17,P004,Monitor,,1800000,3600000,Semarang
166,2025-11-29,P003,Keyboard,2,350000,700000,Yogyakarta
46,2025-04-19,P005,Headset,4,450000,1800000,Semarang
294,2025-04-23,P005,Headset,3,450000,1350000,Jakarta
186,2025-06-22,P005,Headset,4,450000,1800000,Yogyakarta
188,2025-05-13,P002,Mouse,3,150000,450000,Bandung
291,2025-01-12,P003,Keyboard,3,350000,1050000,Surabaya
149,2025-08-01,P002,Mouse,1,150000,150000,Surabaya
157,2025-12-09,P004,Monitor,3,1800000,5400000,Surabaya
77,,P002,Mouse,5,150000,750000,Yogyakarta
268,2025-08-22,P001,Laptop,5,7500000,37500000,Yogyakarta
93,2025-05-09,P005,Headset,4,450000,1800000,Yogyakarta
92,2025-12-18,P003,Keyboard,2,350000,700000,Bandung
133,,P001,Laptop,2,7500000,15000000,Semarang
235,2025-03-31,P005,Headset,1,450000,450000,Surabaya
105,2025-12-09,P003,Keyboard,4,350000,1400000,Jakarta
6,2025-08-03,P002,Mouse,5,150000,750000,Jakarta
257,2025-05-22,P002,Mouse,1,150000,150000,Surabaya
120,2025-06-10,P003,Keyboard,5,350000,1750000,Yogyakarta
85,2025-06-28,P003,Keyboard,2,,700000,Yogyakarta
208,2025-09-03,P003,Keyboard,4,350000,1400000,Surabaya
62,2025-05-23,P004,Monitor,2,1800000,3600000,Surabaya
127,2025-12-02,P005,,5,450000,2250000,Bandung
140,2025-10-14,,Monitor,5,1800000,9000000,Semarang
234,2025-01-11,P005,Headset,5,450000,2250000,Bandung
177,2025-08-08,P003,Keyboard,5,350000,,Bandung
216,2025-10-29,P004,Monitor,3,,5400000,Surabaya
194,2025-07-27,P003,Keyboard,2,350000,700000,Jakarta
134,2025-08-01,P001,Laptop,4,7500000,30000000,Semarang
4,2025-04-22,P001,Laptop,1,7500000,7500000,Jakarta
219,2025-03-22,P003,Keyboard,1,350000,350000,Jakarta
224,2025-05-16,P001,Laptop,2,7500000,15000000,Semarang
39,2025-10-04,P003,Keyboard,2,350000,700000,Semarang
252,2025-08-25,P002,Mouse,1,150000,150000,Yogyakarta
61,2025-08-18,P002,Mouse,5,150000,750000,Jakarta
9,2025-06-22,,Mouse,2,,300000,Yogyakarta
164,2025-05-10,P003,Keyboard,4,,1400000,Yogyakarta
121,,P003,Keyboard,5,350000,1750000,Surabaya
267,,P005,Headset,3,450000,1350000,Surabaya
168,2025-03-20,P001,Laptop,5,7500000,37500000,Jakarta
130,2025-12-06,P003,Keyboard,,350000,1750000,Semarang
245,2025-09-23,P001,Laptop,2,7500000,15000000,Bandung
183,2025-10-31,P004,Monitor,4,1800000,7200000,Bandung
60,2025-05-08,P003,Keyboard,1,350000,350000,Jakarta
64,2025-11-30,P001,,1,7500000,7500000,Semarang
150,2025-08-27,P003,Keyboard,5,350000,1750000,Surabaya
195,2025-07-08,P003,Keyboard,5,350000,1750000,Surabaya
114,2025-02-25,P003,Keyboard,1,350000,350000,Semarang
237,2025-11-22,P005,Headset,4,450000,1800000,Surabaya
23,2025-07-25,P001,Laptop,3,7500000,22500000,Bandung
26,2025-03-13,P002,Mouse,3,150000,450000,Jakarta
33,2025-10-11,P005,Headset,3,450000,1350000,Yogyakarta
201,2025-10-29,P004,Monitor,3,1800000,5400000,Semarang
113,2025-04-02,P001,Laptop,3,7500000,22500000,Semarang
215,,P002,Mouse,5,150000,750000,
155,2025-09-07,P005,Headset,2,450000,,Jakarta
83,2025-10-16,P004,,5,1800000,9000000,Yogyakarta
142,2025-08-17,P004,Monitor,5,1800000,9000000,Jakarta
263,2025-10-20,P002,,2,150000,300000,Surabaya
25,2025-07-22,P002,Mouse,4,150000,600000,Surabaya
204,2025-12-29,P003,Keyboard,1,350000,350000,Semarang
203,2025-07-04,P003,Keyboard,2,350000,700000,Jakarta
296,2025-06-08,P001,Laptop,1,7500000,7500000,Surabaya
82,2025-02-07,P004,Monitor,3,1800000,,Yogyakarta
155,2025-09-07,P005,Headset,2,450000,,Jakarta
10,2025-02-19,,Laptop,4,7500000,30000000,Bandung
126,2025-04-18,P003,Keyboard,3,350000,1050000,Surabaya
100,2025-06-07,P002,Mouse,1,150000,150000,Bandung
43,2025-09-06,P001,Laptop,1,7500000,7500000,Yogyakarta
171,2025-11-07,P003,Keyboard,2,350000,700000,Semarang
276,2025-03-27,P001,Laptop,4,7500000,30000000,
96,2025-10-10,P002,Mouse,4,150000,600000,Surabaya
232,2025-06-15,P001,Laptop,4,7500000,30000000,Semarang
298,2025-06-17,P001,Laptop,3,7500000,22500000,Surabaya
139,2025-08-22,,Mouse,1,150000,150000,Jakarta
68,2025-05-16,P001,,4,7500000,30000000,
52,2025-02-04,P001,Laptop,2,7500000,15000000,Yogyakarta
32,2025-11-02,P004,Monitor,4,1800000,7200000,Surabaya
256,2025-11-03,P004,Monitor,2,1800000,3600000,Semarang
32,2025-11-02,P004,Monitor,4,1800000,7200000,Surabaya
244,2025-08-25,P001,Laptop,5,7500000,37500000,Surabaya
266,2025-03-06,P004,Monitor,,1800000,1800000,Semarang
176,2025-10-17,P005,Headset,1,450000,450000,Yogyakarta
235,2025-03-31,P005,Headset,1,450000,450000,Surabaya
218,,P005,,1,450000,450000,Jakarta
187,2025-04-04,P004,Monitor,3,1800000,5400000,Surabaya
282,2025-10-26,P002,Mouse,4,150000,600000,
241,2025-10-09,P003,Keyboard,4,350000,1400000,Yogyakarta
198,2025-05-09,P003,Keyboard,3,350000,1050000,Jakarta
122,2025-12-23,,Keyboard,4,350000,1400000,Bandung
214,2025-11-02,P004,Monitor,5,1800000,9000000,Semarang
193,2025-01-09,,Monitor,4,1800000,7200000,Yogyakarta
206,2025-12-24,P005,Headset,3,450000,1350000,Jakarta
124,2025-11-12,P004,Monitor,2,1800000,3600000,Semarang
3,2025-08-05,P001,Laptop,5,7500000,37500000,Yogyakarta
175,2025-02-22,P005,Headset,2,450000,900000,Bandung
290,2025-07-03,P004,Monitor,5,1800000,9000000,Semarang
162,2025-06-17,P003,Keyboard,,350000,1400000,Jakarta
229,2025-12-19,P001,Laptop,4,7500000,30000000,Bandung
104,2025-01-13,P002,Mouse,4,150000,600000,Jakarta
279,2025-09-29,P002,Mouse,2,,300000,Surabaya
81,2025-12-10,P004,Monitor,2,1800000,3600000,Bandung
20,2025-03-25,,Headset,2,450000,900000,Surabaya
118,2025-09-24,P004,Monitor,1,1800000,1800000,Semarang
5,2025-01-14,P005,Headset,5,450000,2250000,Semarang
112,,P004,Monitor,5,1800000,9000000,Yogyakarta
11,2025-05-16,P003,Keyboard,5,350000,1750000,Yogyakarta
239,2025-12-10,P003,Keyboard,3,350000,,
19,2025-11-22,P001,Laptop,5,7500000,37500000,Jakarta
91,2025-11-06,P003,,3,350000,1050000,Jakarta
129,2025-03-28,P005,Headset,4,450000,1800000,Yogyakarta
297,2025-07-06,P001,Laptop,5,7500000,37500000,Jakarta
137,2025-04-23,P001,,4,7500000,,Jakarta
98,2025-01-19,P002,Mouse,5,150000,750000,Bandung
16,,P002,Mouse,1,150000,150000,Bandung
45,,P005,Headset,2,450000,900000,Semarang
172,2025-06-09,P001,Laptop,2,7500000,15000000,Yogyakarta
128,,P004,Monitor,4,1800000,7200000,Jakarta
238,2025-06-28,P001,Laptop,4,7500000,30000000,Surabaya
270,2025-05-16,P001,Laptop,4,7500000,30000000,Bandung
223,2025-12-26,P003,Keyboard,3,350000,1050000,
75,2025-11-01,,Mouse,1,150000,150000,Yogyakarta
66,2025-09-04,P004,Monitor,4,1800000,7200000,Jakarta
36,2025-05-15,P004,Monitor,,1800000,1800000,Semarang
55,2025-10-23,P002,Mouse,5,150000,750000,Surabaya
78,,P005,Headset,1,450000,450000,Semarang
53,2025-09-21,P003,Keyboard,1,350000,,Jakarta
284,2025-12-08,P004,Monitor,3,1800000,5400000,Yogyakarta
15,2025-05-29,P001,Laptop,2,,15000000,Yogyakarta
154,2025-10-03,P004,,4,1800000,7200000,Semarang
102,2025-10-14,P001,Laptop,3,7500000,22500000,
57,2025-12-04,P001,Laptop,1,7500000,7500000,
12,2025-03-05,P004,Monitor,5,1800000,9000000,Surabaya
280,2025-03-29,P005,Headset,2,450000,900000,Jakarta
135,2025-09-11,P002,Mouse,4,150000,600000,Surabaya
261,2025-06-20,,Monitor,3,1800000,5400000,Semarang
152,2025-10-22,P005,Headset,1,450000,450000,Surabaya
73,2025-09-15,P005,,4,450000,1800000,Semarang
29,2025-09-18,P002,Mouse,2,150000,300000,Surabaya
295,2025-12-14,P005,Headset,3,450000,1350000,Jakarta
89,2025-03-10,P003,Keyboard,1,350000,350000,Bandung
249,2025-11-19,P001,Laptop,1,7500000,7500000,Semarang
132,2025-03-17,P002,Mouse,2,150000,300000,Yogyakarta
288,2025-06-04,P003,Keyboard,4,350000,1400000,Jakarta
240,2025-07-30,P002,Mouse,3,150000,450000,Surabaya
107,2025-08-29,P004,Monitor,1,1800000,1800000,Jakarta
184,2025-02-14,P003,Keyboard,2,350000,700000,Bandung
293,2025-05-27,P005,Headset,4,450000,1800000,Jakarta
125,,P003,Keyboard,4,350000,1400000,Yogyakarta
267,,P005,Headset,3,450000,1350000,Surabaya
170,2025-08-27,P005,Headset,2,450000,900000,Bandung
114,2025-02-25,P003,Keyboard,1,350000,350000,Semarang
225,2025-02-28,P002,Mouse,4,150000,600000,Semarang
21,2025-11-24,P004,Monitor,3,1800000,5400000,Semarang
236,2025-05-23,P005,Headset,4,450000,1800000,Jakarta
13,2025-05-31,P001,Laptop,,7500000,37500000,Semarang
159,2025-07-21,P005,Headset,1,450000,450000,Semarang
200,2025-04-09,P005,Headset,2,450000,900000,Jakarta
40,2025-06-15,P001,Laptop,5,7500000,37500000,Surabaya
14,2025-04-09,P003,Keyboard,5,350000,1750000,Yogyakarta
22,2025-01-29,P002,Mouse,3,150000,,Jakarta
153,2025-06-30,P004,Monitor,1,1800000,1800000,Bandung
146,2025-06-21,P002,Mouse,3,150000,450000,Bandung
84,2025-04-20,P001,Laptop,5,7500000,37500000,Semarang
185,2025-08-26,P004,Monitor,2,1800000,3600000,Semarang
274,2025-11-20,P001,Laptop,2,7500000,15000000,Bandung
250,2025-06-09,P002,Mouse,2,150000,300000,Semarang
41,2025-07-05,,Laptop,1,7500000,7500000,Bandung
88,2025-01-05,P005,Headset,5,450000,2250000,Semarang
292,2025-10-17,P003,Keyboard,1,350000,350000,Yogyakarta
108,2025-06-29,P002,Mouse,4,150000,600000,Bandung
97,2025-02-27,,Headset,1,450000,450000,Yogyakarta
56,2025-07-28,P002,Mouse,4,150000,600000,Jakarta
136,2025-12-02,P002,Mouse,2,150000,300000,Yogyakarta
23,2025-07-25,P001,Laptop,3,7500000,22500000,Bandung
24,2025-10-18,P001,Laptop,2,7500000,15000000,Bandung
227,2025-03-26,P001,Laptop,1,7500000,7500000,Bandung
163,2025-06-22,,Monitor,3,1800000,5400000,Surabaya
190,2025-09-22,P005,Headset,,450000,450000,Jakarta
242,2025-06-11,P004,Monitor,1,1800000,1800000,Bandung
18,2025-12-10,P003,Keyboard,2,350000,700000,Bandung
103,,P005,Headset,2,450000,900000,Jakarta
231,2025-02-11,P004,Monitor,4,1800000,7200000,
145,2025-02-09,P003,Keyboard,4,350000,1400000,Bandung
37,2025-02-24,P002,Mouse,5,150000,750000,
226,2025-05-17,P002,Mouse,2,150000,300000,Jakarta
2,2025-02-22,P002,Mouse,2,,300000,Semarang
253,2025-05-30,P002,Mouse,4,150000,600000,Semarang
87,2025-12-27,P004,,5,1800000,9000000,Bandung
258,2025-05-17,P003,Keyboard,5,350000,1750000,Yogyakarta
248,2025-08-13,P002,Mouse,3,150000,450000,Surabaya
180,2025-11-22,P004,Monitor,3,1800000,5400000,Surabaya
70,2025-04-08,P004,Monitor,2,1800000,3600000,Bandung
277,2025-06-16,P001,Laptop,1,7500000,7500000,Yogyakarta
8,2025-06-24,P002,Mouse,4,150000,600000,Bandung
69,2025-12-23,,Keyboard,4,350000,1400000,Semarang
178,2025-11-28,P001,Laptop,5,7500000,37500000,Bandung
287,2025-11-24,P005,,3,450000,1350000,Surabaya
269,2025-12-02,P002,Mouse,4,150000,600000,Jakarta
156,2025-09-06,,Keyboard,4,350000,1400000,Yogyakarta
7,2025-05-23,P004,Monitor,5,1800000,9000000,Yogyakarta
251,2025-07-28,P001,Laptop,5,7500000,37500000,Yogyakarta
246,2025-11-17,,Headset,4,450000,1800000,Surabaya
173,2025-06-09,P005,Headset,1,,450000,Semarang
158,2025-03-07,P002,Mouse,4,150000,600000,Semarang
262,2025-08-22,P005,Headset,4,450000,1800000,Bandung
210,2025-02-03,P004,Monitor,1,,1800000,
197,2025-06-30,P005,Headset,3,450000,1350000,Surabaya
144,2025-09-06,P003,Keyboard,5,350000,1750000,Jakarta
252,2025-08-25,P002,Mouse,1,150000,150000,Yogyakarta
110,2025-05-23,P004,Monitor,3,1800000,5400000,Yogyakarta
207,2025-01-07,P004,Monitor,1,1800000,1800000,Semarang
58,2025-07-30,P003,Keyboard,4,350000,1400000,
147,2025-03-12,P005,Headset,1,,450000,Jakarta
72,2025-01-30,P001,Laptop,,7500000,22500000,Yogyakarta
258,2025-05-17,P003,Keyboard,5,350000,1750000,Yogyakarta
30,2025-02-26,P001,Laptop,1,,7500000,Jakarta
95,2025-03-08,P001,Laptop,3,7500000,22500000,Bandung
143,2025-05-13,P004,Monitor,,1800000,7200000,Jakarta
255,2025-10-10,P002,Mouse,4,150000,600000,Jakarta
90,2025-10-11,P001,Laptop,1,7500000,7500000,Jakarta
28,2025-07-24,P004,Monitor,5,1800000,9000000,Bandung
265,2025-07-17,P004,Monitor,4,1800000,7200000,Jakarta
115,2025-06-10,P004,Monitor,3,1800000,5400000,Surabaya
247,2025-05-17,P001,,2,7500000,15000000,Semarang
80,2025-05-03,P002,,3,150000,450000,Bandung
109,2025-01-13,P002,Mouse,2,150000,300000,Jakarta
54,2025-04-20,P003,Keyboard,4,,1400000,Semarang
181,2025-04-01,P002,Mouse,4,150000,600000,Semarang
160,2025-02-12,P005,Headset,1,450000,450000,Surabaya
148,2025-12-22,P002,Mouse,4,150000,600000,Jakarta
27,2025-05-15,P005,Headset,,450000,2250000,Semarang
217,2025-11-14,P003,Keyboard,5,350000,,Yogyakarta
182,2025-10-03,P003,Keyboard,5,350000,1750000,Surabaya
211,2025-10-23,P004,Monitor,1,1800000,1800000,Yogyakarta
63,2025-08-15,P002,Mouse,1,150000,150000,Semarang
169,2025-12-09,P002,Mouse,4,150000,600000,Yogyakarta
31,2025-11-02,P002,Mouse,4,,600000,Yogyakarta
67,2025-03-26,P004,Monitor,,1800000,1800000,Surabaya
191,2025-07-28,P001,Laptop,2,7500000,15000000,Surabaya
50,2025-10-11,P001,Laptop,5,7500000,37500000,Jakarta
222,2025-01-17,P004,Monitor,3,1800000,5400000,Jakarta
48,2025-08-20,P004,Monitor,5,1800000,9000000,Yogyakarta
44,2025-03-07,P005,Headset,2,450000,900000,Surabaya
47,2025-07-24,P002,Mouse,3,150000,450000,Bandung
35,2025-08-11,P001,Laptop,3,7500000,22500000,Jakarta
243,2025-07-26,P003,Keyboard,1,350000,,Semarang
79,2025-06-11,P005,Headset,5,450000,2250000,Bandung
192,2025-12-20,P005,Headset,2,450000,900000,
131,2025-05-01,P003,Keyboard,1,350000,350000,Bandung
285,2025-12-13,P004,Monitor,3,1800000,5400000,Semarang
219,2025-03-22,P003,Keyboard,1,350000,350000,Jakarta
161,2025-04-04,P002,Mouse,4,150000,600000,Yogyakarta
49,2025-02-02,P002,Mouse,2,150000,300000,Bandung
213,2025-03-02,,Laptop,2,7500000,15000000,Semarang
205,2025-01-24,P002,Mouse,3,150000,450000,Yogyakarta
263,2025-10-20,P002,,2,150000,300000,Surabaya
174,2025-04-12,P004,Monitor,4,1800000,7200000,Yogyakarta
212,2025-10-16,P002,Mouse,2,150000,,Bandung
117,2025-05-11,P005,Headset,2,450000,900000,Yogyakarta
232,2025-06-15,P001,Laptop,4,7500000,30000000,Semarang
299,2025-03-09,P002,Mouse,2,150000,300000,Semarang
111,2025-11-25,P003,Keyboard,3,350000,1050000,Semarang
283,2025-11-23,P002,Mouse,4,150000,600000,Bandung
59,,P001,Laptop,1,7500000,7500000,Surabaya
51,2025-01-04,P005,Headset,2,450000,900000,Yogyakarta
221,2025-08-19,P001,Laptop,4,7500000,30000000,Semarang
259,2025-10-28,P003,Keyboard,3,350000,1050000,Semarang
233,2025-02-16,P003,Keyboard,,350000,350000,
151,2025-08-04,P001,,2,7500000,15000000,Surabaya
272,2025-07-14,P003,Keyboard,5,,1750000,Bandung
196,2025-06-26,,Headset,5,450000,2250000,Surabaya
167,2025-05-07,P001,Laptop,1,7500000,7500000,Jakarta
281,2025-07-15,P001,Laptop,5,7500000,37500000,Semarang
300,2025-09-14,P003,Keyboard,5,350000,1750000,Bandung
141,2025-11-10,P003,Keyboard,4,350000,1400000,Semarang
65,2025-05-02,P001,,1,7500000,7500000,Jakarta
34,2025-05-17,P001,Laptop,5,7500000,37500000,Bandung
76,2025-03-03,P002,Mouse,4,150000,600000,Semarang
165,2025-10-04,P004,Monitor,1,1800000,1800000,Yogyakarta
42,2025-05-04,P002,Mouse,1,150000,150000,Semarang
38,2025-04-12,,Headset,5,450000,2250000,Jakarta
228,2025-05-28,P005,,5,450000,2250000,Surabaya
